Brandon,Garza,12,4,2
Karen,Woods,4,4,3
Ruth,Thomas,10,5,7
Marilyn,Lawson,9,3,3
Albert,Ruiz,9,1,1
Roger,Flores,2,1,7
Peter,Harvey,12,4,6
Helen,Kelly,5,4,3
Phillip,Diaz,4,1,1
Alan,Roberts,9,1,5
Kelly,Fields,5,2,5
George,Hughes,4,1,6
Evelyn,Burke,5,4,7
Kimberly,Owens,3,1,3
Patricia,Lewis,9,3,5
Sharon,Wagner,4,1,5
Wanda,Lawson,6,2,5
Heather,Cook,12,1,5
Thomas,Hawkins,11,3,7
Diana,Lewis,9,2,5
Heather,Sanchez,6,3,1
Margaret,Sanders,3,5,3
Helen,Taylor,2,3,4
Tina,Kennedy,12,4,2
Ruby,Hart,4,2,7
Eugene,Gordon,7,4,4
Edward,Wagner,2,2,2
Johnny,Sullivan,8,5,2
Brian,Watkins,3,4,6
Edward,Reid,11,1,6
Carlos,Williams,5,2,2
Joseph,Taylor,9,5,5
Ruth,Hunter,12,1,1
Christopher,Harrison,5,1,4
Emily,Willis,8,1,6
Shirley,Freeman,10,4,3
Joshua,Stephens,8,4,5
Raymond,Nguyen,10,2,6
Nancy,Banks,4,5,7
Norma,Hunter,1,3,4
Ryan,Jordan,10,4,2
Melissa,Harris,8,5,5
Irene,Ferguson,9,3,2
Janet,Gray,7,4,1
Ashley,Gardner,7,5,2
Doris,Hughes,11,4,2
Nicholas,Edwards,5,3,6
Terry,Rose,9,5,5
Amy,Mccoy,3,4,4
Norma,Wilson,10,4,7
Barbara,Cooper,8,5,1
Wanda,Olson,2,1,1
Carolyn,Hughes,11,2,2
Betty,Armstrong,4,3,1
Pamela,Davis,7,1,2
Martin,Jacobs,11,2,3
Phillip,Baker,9,2,3
Peter,Brown,7,4,7
Sandra,Ward,10,5,2
Teresa,Carter,7,1,4
Virginia,Martin,9,3,7
Maria,Hernandez,12,1,5
Antonio,Cunningham,7,2,1
Andrew,Fowler,1,3,5
Ruth,Barnes,6,5,4
Dennis,Wilson,2,1,2
Kimberly,Torres,3,2,6
Wanda,Rodriguez,3,2,1
Nancy,Lawson,4,5,5
Victor,Moore,4,1,2
Dorothy,Harvey,3,4,4
Tina,Murray,1,5,3
Kimberly,Ferguson,3,1,1
Sharon,Stewart,11,5,5
Clarence,Perkins,1,3,1
Michael,Johnston,6,2,3
Gerald,Montgomery,9,2,7
Kelly,Reyes,9,4,7
Kathleen,Edwards,4,5,5
Pamela,Mccoy,5,3,5
Jerry,Wright,2,3,7
Raymond,Ward,11,4,6
Katherine,Morales,5,3,6
Keith,Mitchell,2,1,2
Gregory,Bryant,8,2,7
Kathryn,Phillips,2,4,5
Harold,Reyes,12,3,4
Mildred,Coleman,3,2,2
Peter,Gordon,1,5,1
Ruth,Fowler,4,2,5
Katherine,Day,2,1,1
Teresa,Lewis,12,3,3
Ronald,Hudson,11,3,2
Helen,Andrews,3,4,1
Ruth,Clark,9,3,7
Donald,Peterson,12,1,3
Carolyn,Taylor,9,2,4
Emily,Baker,12,2,7
Lori,Lawrence,2,2,3
Emily,Martin,5,1,3
Kelly,Stanley,2,3,3
Earl,Powell,12,5,1
Ryan,Edwards,10,1,6
Mildred,Hart,11,5,6
Chris,Meyer,7,4,2
Billy,Shaw,9,3,5
Joe,Duncan,5,4,1
Victor,Murray,10,5,5
Eric,Grant,2,2,2
Jose,Frazier,10,3,7
Billy,Martin,9,5,4
Wanda,Jones,7,5,3
George,Stephens,6,5,4
Benjamin,Knight,9,1,1
Debra,Banks,1,5,4
Louise,Ryan,11,5,3
Willie,Andrews,2,2,7
Jacqueline,Myers,2,1,1
Aaron,Adams,2,4,5
Norma,Bowman,11,2,6
Randy,Freeman,6,4,3
Betty,Day,7,5,4
Fred,Dean,7,3,3
Sarah,Rivera,4,2,7
Carl,Gardner,4,1,3
Janice,Watson,7,5,4
Margaret,Morris,9,3,7
Joyce,Gomez,7,1,2
Marie,Sanchez,12,1,3
Irene,Wheeler,6,2,5
Nancy,Hamilton,7,5,7
Benjamin,Nichols,10,3,2
Sean,Tucker,7,5,2
Katherine,Wood,9,1,5
Donna,Collins,8,2,1
Judith,Price,12,2,3
Jason,Hamilton,2,3,6
Jeremy,Richardson,5,1,7
Laura,Alvarez,8,2,5
Rose,Marshall,6,3,6
Clarence,Wheeler,9,2,7
Jonathan,Russell,8,1,5
Joseph,Riley,7,2,7
Joseph,Cooper,11,2,3
Kelly,Matthews,4,1,5
Stephen,Moore,3,5,2
Patrick,Robertson,6,5,2
Amy,Stewart,7,2,4
Carlos,Brooks,1,5,2
Phillip,Daniels,1,1,7
Paula,Williamson,10,4,4
Eugene,Dixon,1,2,3
Christina,Adams,6,2,3
Robin,Sanchez,6,2,5
Kathy,Lawson,2,3,7
Johnny,Jenkins,12,5,3
Nancy,Olson,1,1,6
Jean,Griffin,10,3,1
Jonathan,Harrison,11,3,4
Diane,Kennedy,7,1,7
Debra,Dixon,7,4,3
Robin,Jacobs,2,5,2
Kelly,Ferguson,7,3,1
Clarence,Phillips,8,2,5
Nancy,Davis,8,5,6
Gerald,Armstrong,4,5,6
Joshua,Fowler,6,4,4
Juan,Sullivan,12,1,5
Kathleen,Martinez,4,2,5
Frank,Hill,5,5,4
Ronald,Miller,11,5,4
Shirley,Romero,12,5,3
Doris,Little,11,4,1
Teresa,Peterson,3,5,4
Frances,Baker,7,1,5
Carol,Watson,5,2,3
Carolyn,Fisher,11,4,2
Richard,Fuller,12,3,3
Kathleen,Fuller,12,2,1
Heather,Webb,5,5,3
Irene,Wallace,11,3,4
Philip,Bennett,12,1,7
Rachel,Ford,8,5,5
Tammy,Bryant,11,4,6
Debra,Garcia,7,4,1
Billy,Harvey,3,1,3
Louise,Murray,9,2,6
Larry,Knight,5,5,2
Robin,Long,11,3,4
Rebecca,Roberts,7,1,7
Angela,Stanley,12,2,1
Angela,Jenkins,7,1,6
Ann,Collins,9,1,3
Jessica,Burke,5,5,2
Peter,Black,10,3,5
Jesse,Gardner,4,5,3
Jimmy,Lewis,6,5,2
Jerry,Mendoza,3,4,7
Phillip,Little,5,1,3
Sharon,Tucker,8,2,7
